,Longitude,Latitude,station_name
112,13.12444385947527,58.03583443963785,Sweden_112
113,13.115877875394675,58.03812421556804,Sweden_113
114,11.50249219491912,58.3821113664474,Sweden_114
115,11.518308851439876,58.383442639193,Sweden_115
116,11.501683647095737,58.39248016492109,Sweden_116
117,15.136556656411544,58.4110302975596,Sweden_117
118,15.136451047125254,58.41124821102284,Sweden_118
119,15.136453865293298,58.41126886543531,Sweden_119
120,15.136489148518123,58.41149722699564,Sweden_120
121,15.136132647738595,58.41322717016549,Sweden_121
122,15.136114522375818,58.41323159034065,Sweden_122
123,15.842034331590522,58.413902477196864,Sweden_123
124,14.945778889279769,58.42270973019923,Sweden_124
125,14.924932140164772,58.43051020900286,Sweden_125
126,15.112209871947336,58.432672401525856,Sweden_126
127,15.124065563502697,58.44117561896829,Sweden_127
